t,Mx,My,Mz,Fx,Fy,Fz
10.849999999999813,4.5655292089979564,0.6731428054910407,-0.04593442076458479,-0.11875814644156246,0.012229628619229284,393.2387207296328
10.859999999999813,4.5637132356786365,0.6736436782045745,-0.04558722495147652,-0.11889750348265729,0.012416662798073488,393.2398058107598
10.869999999999813,4.561866154161843,0.6740138991685862,-0.045214462492040114,-0.11903540112938625,0.012585308952795589,393.24073285410725
10.879999999999812,4.5599895063645945,0.6742555966281198,-0.04481682302479293,-0.11917196773079029,0.012737339326821886,393.2415170549215
10.889999999999812,4.55808499986693,0.6743709557304253,-0.044394982150686935,-0.11930732075249335,0.012874358513612318,393.2421721659757
10.899999999999812,4.556154493295207,0.6743622187313931,-0.043949602080750355,-0.1194415677511202,0.012997819292274889,393.24271063448975
10.909999999999812,4.55419998166267,0.6742316846383063,-0.04348133226465259,-0.1195748072866011,0.013109037076502704,393.2431437260152
10.919999999999812,4.552223583740913,0.6739817089747824,-0.04299081004469637,-0.11970712968869492,0.013209202779054295,393.24348163653485
10.929999999999811,4.5502275285266585,0.6736147028667729,-0.04247866127455141,-0.11983861780277529,0.013299394677454321,393.2437335939114
10.939999999999811,4.548214143573135,0.6731331321900009,-0.041945500961190894,-0.11996934762658747,0.013380588954286619,393.2439079496547
10.949999999999811,4.546185842175343,0.6725395161423773,-0.04139193386761687,-0.12009938893531026,0.013453669476316505,393.2440122619842
10.95999999999981,4.54414511287267,0.6718364260656737,-0.04081855514399635,-0.12022880578220198,0.013519436370731133,393.2440533709833
10.96999999999981,4.542094508243955,0.6710264838184508,-0.04022595092776214,-0.1203576569950909,0.013578613951403525,393.24403746658567
10.97999999999981,4.540036634171779,0.6701123599678267,-0.03961469893079636,-0.12048599662801898,0.01363185787515172,393.24397015011334
10.98999999999981,4.537974139964286,0.6690967720386714,-0.038985369022657534,-0.12061387434461113,0.013679761546144052,393.2438564899468
10.99999999999981,4.535909708077549,0.6679824823560175,-0.0383385237791823,-0.12074133580507618,0.013722862023848585,393.24370107191305
11.00999999999981,4.533846044823692,0.6667722960804965,-0.03767471902544163,-0.12086842297440081,0.013761645269053166,393.2435080448839
11.01999999999981,4.531785871150646,0.6654690589114828,-0.03699450434882563,-0.12099517444165354,0.013796550928790379,393.2432811620149
11.02999999999981,4.529731913613206,0.6640756548129884,-0.03629842358430546,-0.12112162569130507,0.013827976681869119,393.24302381809
11.039999999999809,4.527686895861883,0.6625950037004783,-0.035587015275335185,-0.1212478093460142,0.013856282139734085,393.2427390833093
11.049999999999809,4.525653530129879,0.6610300588736933,-0.03486081309765214,-0.1213737554200638,0.013881792419215033,393.2424297338616
11.059999999999809,4.5236345093207575,0.659383804653074,-0.034120346256189496,-0.12149949151214015,0.01390480133314814,393.242098279596
11.069999999999808,4.521632499119548,0.6576592537833598,-0.03336613984024284,-0.1216250430060072,0.013925574314706982,393.2417469890854
11.079999999999808,4.5196501307280865,0.6558594448889852,-0.032598715150159656,-0.12175043325186108,0.013944351016270978,393.24137791227054
11.089999999999808,4.517689993512782,0.6539874398736587,-0.03181858997522282,-0.12187568372640607,0.013961347716306376,393.24099290100196
11.099999999999808,4.515754627870146,0.6520463212294878,-0.031026278831286763,-0.12200081419412573,0.013976759511538518,393.240593627622
11.109999999999808,4.513846519046227,0.6500391894880262,-0.03022229317030762,-0.12212584283945603,0.01399076220574756,393.24018160176655
11.119999999999807,4.5119680906073665,0.6479691605102049,-0.02940714153404454,-0.12225078640286073,0.014003514111859834,393.23975818560564
11.129999999999807,4.51012169823479,0.6458393628246517,-0.02858132966630686,-0.12237566030513274,0.014015157685307622,393.23932460762796
11.139999999999807,4.50830962413176,0.6436529349879982,-0.027745360588243673,-0.1225004787511077,0.01402582095860787,393.23888197515384
11.149999999999807,4.5065340718483675,0.6414130229543598,-0.026899734632702434,-0.12262525484154463,0.014035618824348294,393.23843128561464
11.159999999999807,4.504797160762838,0.6391227773763075,-0.0260449494234375,-0.12275000067230514,0.01404465429714789,393.2379734368213
11.169999999999806,4.503100921806698,0.6367853510968603,-0.02518149983079386,-0.12287472740990811,0.014053019517903172,393.23750923625505
11.179999999999806,4.501447292261849,0.634403896325854,-0.024309877860315285,-0.1229994454100707,0.014060796855029804,393.23703940947115
11.189999999999806,4.4998381123341815,0.6319815622561438,-0.023430572532785403,-0.12312416426460432,0.014068059688779784,393.23656460773884
11.199999999999806,4.49827512100053,0.6295214924015388,-0.022544069702391076,-0.12324889289246273,0.014074873276954933,393.23608541495184
11.209999999999805,4.496759952486813,0.6270268220633214,-0.021650851845734745,-0.1233736396062581,0.01408129549989258,393.23560235391403
11.219999999999805,4.495294133460128,0.6245006758717069,-0.020751397822414797,-0.12349841217306436,0.014087377481267345,393.23511589201274
11.229999999999805,4.493879079754141,0.6219461652349161,-0.019846182587075257,-0.12362321788442442,0.014093164269350013,393.23462644640324
11.239999999999805,4.492516094212332,0.6193663859410439,-0.01893567688730407,-0.1237480636082529,0.014098695347871122,393.2341343886859
11.249999999999805,4.49120636448626,0.6167644157522965,-0.01802034692451284,-0.12387295584175917,0.014104005150926531,393.2336400491655
11.259999999999804,4.4899509613319974,0.6141433120678799,-0.01710065399364892,-0.12399790075520285,0.014109123512237934,393.23314372072366
11.269999999999804,4.488750836650169,0.611506109463728,-0.01617705408782106,-0.12412290426077963,0.01411407616466128,393.2326456623328
11.279999999999804,4.487606823245703,0.608855817632091,-0.015249997511531308,-0.12424797201732059,0.014118884987938023,393.2321461022555
11.289999999999804,4.486519633182912,0.6061954189433356,-0.014319928441777303,-0.12437310950331774,0.014123568492956822,393.23164524094807
11.299999999999804,4.485489857934055,0.6035278663597476,-0.013387284504890299,-0.12449832203578184,0.014128142050160015,393.2311432537038
11.309999999999803,4.4845179679597384,0.6008560812924628,-0.012452496325764433,-0.12462361479918266,0.014132618226396115,393.23064029307585
11.319999999999803,4.483604312831495,0.5981829513968004,-0.011515987073345217,-0.12474899289543366,0.014137007064595038,393.2301364910559
11.329999999999803,4.482749121803636,0.5955113286284371,-0.010578172004554777,-0.12487446134691156,0.014141316320885524,393.2296319611014
11.339999999999803,4.4819525048081665,0.5928440272002431,-0.009639458009643975,-0.12500002513508435,0.014145551661653127,393.22912679992487
